Gde_Nr,Bevölkerung,Arbeitsplätze
1,1977,310.3
10,5131,854.1
100,2227,374.4
1001,767,126.9
1002,3367,1160.3000000000002
1004,1937,627.5999999999999
1005,1746,611.8
1007,667,172.7
1008,4188,1687.0
1009,2040,1350.9
101,3464,590.2
1010,4358,1631.6000000000001
102,1483,213.8
1021,1141,398.70000000000005
1022,411,114.80000000000001
1023,2794,662.5999999999999
1024,30228,12558.7
1025,955,291.4
1026,3684,1156.2
1030,5190,2051.3
1031,9814,3948.5
1032,2531,786.4
1033,2429,879.0
1037,2659,575.9
1039,1763,431.70000000000005
1040,7430,4057.3
1041,1020,267.2
1051,5352,1143.8
1052,6192,1898.1
1053,1481,1706.5
1054,13313,5288.5
1055,1287,359.0
1056,1052,96.5
1057,363,111.0
1058,13884,3642.4
1059,27110,8976.6
1061,81592,59965.1
1062,7108,2755.9
1063,7002,1603.1000000000001
1064,1371,324.0
1065,4754,3655.5
1066,1719,309.6
1067,2285,289.1
1068,1339,462.5
1069,4381,1655.9
1081,6517,1963.0
1082,2357,913.6000000000001
1083,3248,1311.1
1084,1658,424.0
1085,2906,709.8
1086,3162,994.7
1088,2214,413.5
1089,2154,543.9
1091,1414,215.0
1093,6957,1904.6
1094,3728,1775.6
1095,4636,2141.0
1097,3248,998.9
1098,6908,2339.1000000000004
1099,2816,810.5
11,2591,482.9
1100,840,121.0
1102,4106,1471.3000000000002
1103,9621,10339.4
1104,4587,2677.0
1107,4299,1814.0
111,5060,1111.2
112,7115,2540.1
1121,648,154.10000000000002
1122,1013,426.4
1123,1548,2284.2
1125,5287,2789.3999999999996
1126,395,154.1
1127,1439,446.0
1128,2718,667.1
1129,699,129.5
113,7530,1231.1
1130,1120,494.3
1131,838,278.4
1132,1890,536.4000000000001
1135,1281,456.5
1136,2897,1177.4
1137,2600,897.6
1139,2653,1198.1
114,2480,512.4
1140,7008,2988.1
1142,682,201.2
1143,4272,1303.7
1145,891,227.7
1146,2130,532.1
1147,1506,694.7
115,9827,1952.6
1150,2025,1189.4
1151,7777,3461.7
116,3401,1393.4
117,11095,5743.0
118,12086,3527.9000000000005
119,1443,372.1
12,1078,170.2
120,9645,2570.4
1201,9211,5126.5
1202,1355,913.7
1203,1650,281.1
1204,164,23.7
1205,4021,1380.4
1206,3765,1139.6
1207,2002,690.3
1208,450,149.6
1209,563,161.89999999999998
121,24640,10114.6
1210,188,22.8
1211,503,104.7
1212,145,38.0
1213,5248,2176.6
1214,1794,461.9
1215,683,160.0
1216,2045,293.7
1217,373,55.5
1218,834,168.3
1219,710,108.9
1220,441,169.7
13,3646,601.1
1301,15361,4882.8
131,18742,6878.400000000001
1311,2260,436.9
1321,5237,2787.4
1322,16196,11186.2
1323,7102,3194.9
1331,12512,5560.1
134,900,156.4
1341,6907,2913.2
1342,5199,942.1
1343,193,33.6
1344,8599,3973.3
1345,3566,935.8
1346,9073,2205.1
1347,3239,1175.0
1348,1016,173.9
1349,4989,1291.8
135,8380,3071.7
136,7502,1078.9
1361,612,111.4
1362,11735,2956.0
1363,794,130.9
1364,8758,2532.2
1365,1067,112.5
1366,1107,530.5999999999999
1367,3543,1067.1
1368,885,251.7
1369,88,30.2
137,5035,687.1
1370,2375,594.5
1371,1926,364.79999999999995
1372,14885,9599.7
1373,3358,880.1
1374,916,258.29999999999995
1375,2365,594.4
138,13352,3208.4
139,5744,2496.4
14,5123,929.6
140,1849,422.70000000000005
1401,5997,2456.7
1402,4134,1854.1999999999998
1403,3631,1012.0
1404,6194,1865.6
1405,2129,884.0
1406,5060,2623.5
1407,10233,6266.5
141,17789,4678.7
142,21797,6706.1
1501,3567,809.0
1502,5389,1424.3000000000002
1503,1832,578.2
1504,1384,243.1
1505,4567,1163.0
1506,2108,573.2
1507,5682,2268.0
1508,3135,1068.8
1509,8333,7806.800000000001
151,5517,1503.5
1510,4423,1374.4
1511,2136,614.3
152,6300,986.6
153,8620,2090.8
154,14192,4844.0
155,10830,3953.4
156,13762,4509.6
157,4743,1550.2
158,14291,4747.0
159,6076,1204.4
160,5158,1241.9
161,12791,4569.799999999999
1630,18057,6919.0
1631,9575,3737.6000000000004
1632,12515,6441.6
1701,24129,19237.8
1702,16216,7854.7
1703,8827,5212.700000000001
1704,4467,1215.0
1705,2219,716.8
1706,5994,1309.3
