"Jahr","Gemeinde","Wirtschaftssektor","Grössenklasse","Vollzeitäquivalente"
"2016","1 Aeugst am Albis","Primärsektor","Grössenklasse - Total",24.8
"2016","1 Aeugst am Albis","Sekundärer Sektor","Grössenklasse - Total",23.8
"2016","1 Aeugst am Albis","Tertiärer Sektor","Grössenklasse - Total",261.7
"2016","2 Affoltern am Albis","Primärsektor","Grössenklasse - Total",36.3
"2016","2 Affoltern am Albis","Sekundärer Sektor","Grössenklasse - Total",1149.4
"2016","2 Affoltern am Albis","Tertiärer Sektor","Grössenklasse - Total",3722.6
"2016","3 Bonstetten","Primärsektor","Grössenklasse - Total",13.7
"2016","3 Bonstetten","Sekundärer Sektor","Grössenklasse - Total",101.4
"2016","3 Bonstetten","Tertiärer Sektor","Grössenklasse - Total",553.5
"2016","4 Hausen am Albis","Primärsektor","Grössenklasse - Total",70.6
"2016","4 Hausen am Albis","Sekundärer Sektor","Grössenklasse - Total",124.1
"2016","4 Hausen am Albis","Tertiärer Sektor","Grössenklasse - Total",600.2
"2016","5 Hedingen","Primärsektor","Grössenklasse - Total",15.9
"2016","5 Hedingen","Sekundärer Sektor","Grössenklasse - Total",662.3
"2016","5 Hedingen","Tertiärer Sektor","Grössenklasse - Total",539.1
"2016","6 Kappel am Albis","Primärsektor","Grössenklasse - Total",42.6
"2016","6 Kappel am Albis","Sekundärer Sektor","Grössenklasse - Total",62.4
"2016","6 Kappel am Albis","Tertiärer Sektor","Grössenklasse - Total",104.0
"2016","7 Knonau","Primärsektor","Grössenklasse - Total",41.3
"2016","7 Knonau","Sekundärer Sektor","Grössenklasse - Total",83.6
"2016","7 Knonau","Tertiärer Sektor","Grössenklasse - Total",259.3
"2016","8 Maschwanden","Primärsektor","Grössenklasse - Total",30.4
"2016","8 Maschwanden","Sekundärer Sektor","Grössenklasse - Total",39.4
"2016","8 Maschwanden","Tertiärer Sektor","Grössenklasse - Total",37.3
"2016","9 Mettmenstetten","Primärsektor","Grössenklasse - Total",90.8
"2016","9 Mettmenstetten","Sekundärer Sektor","Grössenklasse - Total",453.5
"2016","9 Mettmenstetten","Tertiärer Sektor","Grössenklasse - Total",598.0
"2016","10 Obfelden","Primärsektor","Grössenklasse - Total",38.6
"2016","10 Obfelden","Sekundärer Sektor","Grössenklasse - Total",248.5
"2016","10 Obfelden","Tertiärer Sektor","Grössenklasse - Total",567.0
"2016","11 Ottenbach","Primärsektor","Grössenklasse - Total",16.1
"2016","11 Ottenbach","Sekundärer Sektor","Grössenklasse - Total",191.6
"2016","11 Ottenbach","Tertiärer Sektor","Grössenklasse - Total",275.2
"2016","12 Rifferswil","Primärsektor","Grössenklasse - Total",28.0
"2016","12 Rifferswil","Sekundärer Sektor","Grössenklasse - Total",63.6
"2016","12 Rifferswil","Tertiärer Sektor","Grössenklasse - Total",78.6
"2016","13 Stallikon","Primärsektor","Grössenklasse - Total",28.3
"2016","13 Stallikon","Sekundärer Sektor","Grössenklasse - Total",151.7
"2016","13 Stallikon","Tertiärer Sektor","Grössenklasse - Total",421.1
"2016","14 Wettswil am Albis","Primärsektor","Grössenklasse - Total",8.2
"2016","14 Wettswil am Albis","Sekundärer Sektor","Grössenklasse - Total",401.2
"2016","14 Wettswil am Albis","Tertiärer Sektor","Grössenklasse - Total",520.2
"2016","21 Adlikon","Primärsektor","Grössenklasse - Total",25.4
"2016","21 Adlikon","Sekundärer Sektor","Grössenklasse - Total",17.1
"2016","21 Adlikon","Tertiärer Sektor","Grössenklasse - Total",51.4
"2016","22 Benken (ZH)","Primärsektor","Grössenklasse - Total",69.9
"2016","22 Benken (ZH)","Sekundärer Sektor","Grössenklasse - Total",40.0
"2016","22 Benken (ZH)","Tertiärer Sektor","Grössenklasse - Total",71.1
"2016","23 Berg am Irchel","Primärsektor","Grössenklasse - Total",26.4
"2016","23 Berg am Irchel","Sekundärer Sektor","Grössenklasse - Total",24.2
"2016","23 Berg am Irchel","Tertiärer Sektor","Grössenklasse - Total",41.6
"2016","24 Buch am Irchel","Primärsektor","Grössenklasse - Total",51.1
"2016","24 Buch am Irchel","Sekundärer Sektor","Grössenklasse - Total",30.4
"2016","24 Buch am Irchel","Tertiärer Sektor","Grössenklasse - Total",55.1
"2016","25 Dachsen","Primärsektor","Grössenklasse - Total",11.8
"2016","25 Dachsen","Sekundärer Sektor","Grössenklasse - Total",138.1
"2016","25 Dachsen","Tertiärer Sektor","Grössenklasse - Total",114.4
"2016","26 Dorf","Primärsektor","Grössenklasse - Total",26.2
"2016","26 Dorf","Sekundärer Sektor","Grössenklasse - Total",12.6
"2016","26 Dorf","Tertiärer Sektor","Grössenklasse - Total",68.4
"2016","27 Feuerthalen","Primärsektor","Grössenklasse - Total",4.5
"2016","27 Feuerthalen","Sekundärer Sektor","Grössenklasse - Total",193.4
"2016","27 Feuerthalen","Tertiärer Sektor","Grössenklasse - Total",589.8
"2016","28 Flaach","Primärsektor","Grössenklasse - Total",69.6
"2016","28 Flaach","Sekundärer Sektor","Grössenklasse - Total",105.1
"2016","28 Flaach","Tertiärer Sektor","Grössenklasse - Total",338.6
"2016","29 Flurlingen","Primärsektor","Grössenklasse - Total",4.3
"2016","29 Flurlingen","Sekundärer Sektor","Grössenklasse - Total",96.5
"2016","29 Flurlingen","Tertiärer Sektor","Grössenklasse - Total",186.4
"2016","30 Andelfingen","Primärsektor","Grössenklasse - Total",31.2
"2016","30 Andelfingen","Sekundärer Sektor","Grössenklasse - Total",570.0
"2016","30 Andelfingen","Tertiärer Sektor","Grössenklasse - Total",540.9
"2016","31 Henggart","Primärsektor","Grössenklasse - Total",18.1
"2016","31 Henggart","Sekundärer Sektor","Grössenklasse - Total",258.0
"2016","31 Henggart","Tertiärer Sektor","Grössenklasse - Total",145.6
"2016","32 Humlikon","Primärsektor","Grössenklasse - Total",14.5
"2016","32 Humlikon","Sekundärer Sektor","Grössenklasse - Total",6.1
"2016","32 Humlikon","Tertiärer Sektor","Grössenklasse - Total",66.2
"2016","33 Kleinandelfingen","Primärsektor","Grössenklasse - Total",38.3
"2016","33 Kleinandelfingen","Sekundärer Sektor","Grössenklasse - Total",377.6
"2016","33 Kleinandelfingen","Tertiärer Sektor","Grössenklasse - Total",403.6
"2016","34 Laufen-Uhwiesen","Primärsektor","Grössenklasse - Total",40.2
"2016","34 Laufen-Uhwiesen","Sekundärer Sektor","Grössenklasse - Total",157.4
"2016","34 Laufen-Uhwiesen","Tertiärer Sektor","Grössenklasse - Total",143.4
"2016","35 Marthalen","Primärsektor","Grössenklasse - Total",50.5
"2016","35 Marthalen","Sekundärer Sektor","Grössenklasse - Total",234.1
"2016","35 Marthalen","Tertiärer Sektor","Grössenklasse - Total",507.1
"2016","36 Oberstammheim","Primärsektor","Grössenklasse - Total",61.3
"2016","36 Oberstammheim","Sekundärer Sektor","Grössenklasse - Total",51.9
"2016","36 Oberstammheim","Tertiärer Sektor","Grössenklasse - Total",175.6
"2016","37 Ossingen","Primärsektor","Grössenklasse - Total",54.0
"2016","37 Ossingen","Sekundärer Sektor","Grössenklasse - Total",34.5
"2016","37 Ossingen","Tertiärer Sektor","Grössenklasse - Total",177.1
"2016","38 Rheinau","Primärsektor","Grössenklasse - Total",15.2
"2016","38 Rheinau","Sekundärer Sektor","Grössenklasse - Total",49.8
"2016","38 Rheinau","Tertiärer Sektor","Grössenklasse - Total",285.7
"2016","39 Thalheim an der Thur","Primärsektor","Grössenklasse - Total",26.1
"2016","39 Thalheim an der Thur","Sekundärer Sektor","Grössenklasse - Total",65.8
"2016","39 Thalheim an der Thur","Tertiärer Sektor","Grössenklasse - Total",87.9
"2016","40 Trüllikon","Primärsektor","Grössenklasse - Total",60.6
"2016","40 Trüllikon","Sekundärer Sektor","Grössenklasse - Total",69.7
"2016","40 Trüllikon","Tertiärer Sektor","Grössenklasse - Total",81.5
"2016","41 Truttikon","Primärsektor","Grössenklasse - Total",30.1
"2016","41 Truttikon","Sekundärer Sektor","Grössenklasse - Total",14.0
"2016","41 Truttikon","Tertiärer Sektor","Grössenklasse - Total",19.2
"2016","42 Unterstammheim","Primärsektor","Grössenklasse - Total",68.3
"2016","42 Unterstammheim","Sekundärer Sektor","Grössenklasse - Total",179.2
"2016","42 Unterstammheim","Tertiärer Sektor","Grössenklasse - Total",114.1
"2016","43 Volken","Primärsektor","Grössenklasse - Total",21.1
"2016","43 Volken","Sekundärer Sektor","Grössenklasse - Total",11.4
"2016","43 Volken","Tertiärer Sektor","Grössenklasse - Total",31.1
"2016","44 Waltalingen","Primärsektor","Grössenklasse - Total",39.6
"2016","44 Waltalingen","Sekundärer Sektor","Grössenklasse - Total",64.3
"2016","44 Waltalingen","Tertiärer Sektor","Grössenklasse - Total",56.4
"2016","51 Bachenbülach","Primärsektor","Grössenklasse - Total",X
"2016","51 Bachenbülach","Sekundärer Sektor","Grössenklasse - Total",477.7
"2016","51 Bachenbülach","Tertiärer Sektor","Grössenklasse - Total",1066.9
"2016","52 Bassersdorf","Primärsektor","Grössenklasse - Total",26.0
"2016","52 Bassersdorf","Sekundärer Sektor","Grössenklasse - Total",850.7
"2016","52 Bassersdorf","Tertiärer Sektor","Grössenklasse - Total",2581.8
"2016","53 Bülach","Primärsektor","Grössenklasse - Total",62.5
"2016","53 Bülach","Sekundärer Sektor","Grössenklasse - Total",2105.2
"2016","53 Bülach","Tertiärer Sektor","Grössenklasse - Total",5780.6
"2016","54 Dietlikon","Primärsektor","Grössenklasse - Total",7.1
"2016","54 Dietlikon","Sekundärer Sektor","Grössenklasse - Total",1362.5
"2016","54 Dietlikon","Tertiärer Sektor","Grössenklasse - Total",3610.5
"2016","55 Eglisau","Primärsektor","Grössenklasse - Total",47.0
"2016","55 Eglisau","Sekundärer Sektor","Grössenklasse - Total",367.7
"2016","55 Eglisau","Tertiärer Sektor","Grössenklasse - Total",742.2
"2016","56 Embrach","Primärsektor","Grössenklasse - Total",44.6
"2016","56 Embrach","Sekundärer Sektor","Grössenklasse - Total",613.9
"2016","56 Embrach","Tertiärer Sektor","Grössenklasse - Total",2076.2
"2016","57 Freienstein-Teufen","Primärsektor","Grössenklasse - Total",52.0
"2016","57 Freienstein-Teufen","Sekundärer Sektor","Grössenklasse - Total",78.0
"2016","57 Freienstein-Teufen","Tertiärer Sektor","Grössenklasse - Total",254.0
"2016","58 Glattfelden","Primärsektor","Grössenklasse - Total",25.3
"2016","58 Glattfelden","Sekundärer Sektor","Grössenklasse - Total",181.9
"2016","58 Glattfelden","Tertiärer Sektor","Grössenklasse - Total",576.4
"2016","59 Hochfelden","Primärsektor","Grössenklasse - Total",15.1
"2016","59 Hochfelden","Sekundärer Sektor","Grössenklasse - Total",206.4
"2016","59 Hochfelden","Tertiärer Sektor","Grössenklasse - Total",120.1
"2016","60 Höri","Primärsektor","Grössenklasse - Total",20.9
"2016","60 Höri","Sekundärer Sektor","Grössenklasse - Total",528.6
"2016","60 Höri","Tertiärer Sektor","Grössenklasse - Total",459.6
"2016","61 Hüntwangen","Primärsektor","Grössenklasse - Total",16.6
"2016","61 Hüntwangen","Sekundärer Sektor","Grössenklasse - Total",76.7
"2016","61 Hüntwangen","Tertiärer Sektor","Grössenklasse - Total",130.6
"2016","62 Kloten","Primärsektor","Grössenklasse - Total",35.4
"2016","62 Kloten","Sekundärer Sektor","Grössenklasse - Total",4251.7
"2016","62 Kloten","Tertiärer Sektor","Grössenklasse - Total",26348.5
"2016","63 Lufingen","Primärsektor","Grössenklasse - Total",9.6
"2016","63 Lufingen","Sekundärer Sektor","Grössenklasse - Total",79.8
"2016","63 Lufingen","Tertiärer Sektor","Grössenklasse - Total",160.0
"2016","64 Nürensdorf","Primärsektor","Grössenklasse - Total",30.6
"2016","64 Nürensdorf","Sekundärer Sektor","Grössenklasse - Total",265.4
"2016","64 Nürensdorf","Tertiärer Sektor","Grössenklasse - Total",456.9
"2016","65 Oberembrach","Primärsektor","Grössenklasse - Total",48.0
"2016","65 Oberembrach","Sekundärer Sektor","Grössenklasse - Total",24.4
"2016","65 Oberembrach","Tertiärer Sektor","Grössenklasse - Total",88.4
"2016","66 Opfikon","Primärsektor","Grössenklasse - Total",7.8
"2016","66 Opfikon","Sekundärer Sektor","Grössenklasse - Total",1296.8
"2016","66 Opfikon","Tertiärer Sektor","Grössenklasse - Total",14362.2
"2016","67 Rafz","Primärsektor","Grössenklasse - Total",141.6
"2016","67 Rafz","Sekundärer Sektor","Grössenklasse - Total",445.1
"2016","67 Rafz","Tertiärer Sektor","Grössenklasse - Total",511.1
"2016","68 Rorbas","Primärsektor","Grössenklasse - Total",33.3
"2016","68 Rorbas","Sekundärer Sektor","Grössenklasse - Total",94.3
"2016","68 Rorbas","Tertiärer Sektor","Grössenklasse - Total",288.8
"2016","69 Wallisellen","Primärsektor","Grössenklasse - Total",28.8
"2016","69 Wallisellen","Sekundärer Sektor","Grössenklasse - Total",3015.0
"2016","69 Wallisellen","Tertiärer Sektor","Grössenklasse - Total",13779.8
"2016","70 Wasterkingen","Primärsektor","Grössenklasse - Total",12.3
"2016","70 Wasterkingen","Sekundärer Sektor","Grössenklasse - Total",13.3
"2016","70 Wasterkingen","Tertiärer Sektor","Grössenklasse - Total",24.7
"2016","71 Wil (ZH)","Primärsektor","Grössenklasse - Total",47.3
"2016","71 Wil (ZH)","Sekundärer Sektor","Grössenklasse - Total",142.1
"2016","71 Wil (ZH)","Tertiärer Sektor","Grössenklasse - Total",187.6
"2016","72 Winkel","Primärsektor","Grössenklasse - Total",93.6
"2016","72 Winkel","Sekundärer Sektor","Grössenklasse - Total",79.5
"2016","72 Winkel","Tertiärer Sektor","Grössenklasse - Total",500.4
"2016","81 Bachs","Primärsektor","Grössenklasse - Total",59.9
"2016","81 Bachs","Sekundärer Sektor","Grössenklasse - Total",40.6
"2016","81 Bachs","Tertiärer Sektor","Grössenklasse - Total",88.5
"2016","82 Boppelsen","Primärsektor","Grössenklasse - Total",130.7
"2016","82 Boppelsen","Sekundärer Sektor","Grössenklasse - Total",11.5
"2016","82 Boppelsen","Tertiärer Sektor","Grössenklasse - Total",67.6
"2016","83 Buchs (ZH)","Primärsektor","Grössenklasse - Total",95.7
"2016","83 Buchs (ZH)","Sekundärer Sektor","Grössenklasse - Total",279.4
"2016","83 Buchs (ZH)","Tertiärer Sektor","Grössenklasse - Total",1576.1
"2016","84 Dällikon","Primärsektor","Grössenklasse - Total",55.8
"2016","84 Dällikon","Sekundärer Sektor","Grössenklasse - Total",1236.6
"2016","84 Dällikon","Tertiärer Sektor","Grössenklasse - Total",966.3
"2016","85 Dänikon","Primärsektor","Grössenklasse - Total",45.3
"2016","85 Dänikon","Sekundärer Sektor","Grössenklasse - Total",216.0
"2016","85 Dänikon","Tertiärer Sektor","Grössenklasse - Total",114.8
"2016","86 Dielsdorf","Primärsektor","Grössenklasse - Total",25.0
"2016","86 Dielsdorf","Sekundärer Sektor","Grössenklasse - Total",579.2
"2016","86 Dielsdorf","Tertiärer Sektor","Grössenklasse - Total",2574.9
"2016","87 Hüttikon","Primärsektor","Grössenklasse - Total",9.8
"2016","87 Hüttikon","Sekundärer Sektor","Grössenklasse - Total",31.8
"2016","87 Hüttikon","Tertiärer Sektor","Grössenklasse - Total",41.7
"2016","88 Neerach","Primärsektor","Grössenklasse - Total",28.9
"2016","88 Neerach","Sekundärer Sektor","Grössenklasse - Total",72.0
"2016","88 Neerach","Tertiärer Sektor","Grössenklasse - Total",344.7
"2016","89 Niederglatt","Primärsektor","Grössenklasse - Total",20.0
"2016","89 Niederglatt","Sekundärer Sektor","Grössenklasse - Total",311.4
"2016","89 Niederglatt","Tertiärer Sektor","Grössenklasse - Total",746.8
"2016","90 Niederhasli","Primärsektor","Grössenklasse - Total",38.1
"2016","90 Niederhasli","Sekundärer Sektor","Grössenklasse - Total",654.6
"2016","90 Niederhasli","Tertiärer Sektor","Grössenklasse - Total",1076.9
"2016","91 Niederweningen","Primärsektor","Grössenklasse - Total",26.9
"2016","91 Niederweningen","Sekundärer Sektor","Grössenklasse - Total",338.0
"2016","91 Niederweningen","Tertiärer Sektor","Grössenklasse - Total",241.3
"2016","92 Oberglatt","Primärsektor","Grössenklasse - Total",19.6
"2016","92 Oberglatt","Sekundärer Sektor","Grössenklasse - Total",851.5
"2016","92 Oberglatt","Tertiärer Sektor","Grössenklasse - Total",500.3
"2016","93 Oberweningen","Primärsektor","Grössenklasse - Total",28.0
"2016","93 Oberweningen","Sekundärer Sektor","Grössenklasse - Total",69.8
"2016","93 Oberweningen","Tertiärer Sektor","Grössenklasse - Total",117.6
"2016","94 Otelfingen","Primärsektor","Grössenklasse - Total",43.9
"2016","94 Otelfingen","Sekundärer Sektor","Grössenklasse - Total",412.3
"2016","94 Otelfingen","Tertiärer Sektor","Grössenklasse - Total",1515.0
