"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Bevölkerungstyp","Geburtsort","Staatsangehörigkeit - Total"
"2016","......0001 Aeugst am Albis","Ständige Wohnbevölkerung","Geburtsort - Total",1977
"2016","......0002 Affoltern am Albis","Ständige Wohnbevölkerung","Geburtsort - Total",11900
"2016","......0003 Bonstetten","Ständige Wohnbevölkerung","Geburtsort - Total",5435
"2016","......0004 Hausen am Albis","Ständige Wohnbevölkerung","Geburtsort - Total",3571
"2016","......0005 Hedingen","Ständige Wohnbevölkerung","Geburtsort - Total",3687
"2016","......0006 Kappel am Albis","Ständige Wohnbevölkerung","Geburtsort - Total",1110
"2016","......0007 Knonau","Ständige Wohnbevölkerung","Geburtsort - Total",2168
"2016","......0008 Maschwanden","Ständige Wohnbevölkerung","Geburtsort - Total",626
"2016","......0009 Mettmenstetten","Ständige Wohnbevölkerung","Geburtsort - Total",4861
"2016","......0010 Obfelden","Ständige Wohnbevölkerung","Geburtsort - Total",5131
"2016","......0011 Ottenbach","Ständige Wohnbevölkerung","Geburtsort - Total",2591
"2016","......0012 Rifferswil","Ständige Wohnbevölkerung","Geburtsort - Total",1078
"2016","......0013 Stallikon","Ständige Wohnbevölkerung","Geburtsort - Total",3646
"2016","......0014 Wettswil am Albis","Ständige Wohnbevölkerung","Geburtsort - Total",5123
"2016","......0021 Adlikon","Ständige Wohnbevölkerung","Geburtsort - Total",666
"2016","......0022 Benken (ZH)","Ständige Wohnbevölkerung","Geburtsort - Total",857
"2016","......0023 Berg am Irchel","Ständige Wohnbevölkerung","Geburtsort - Total",567
"2016","......0024 Buch am Irchel","Ständige Wohnbevölkerung","Geburtsort - Total",957
"2016","......0025 Dachsen","Ständige Wohnbevölkerung","Geburtsort - Total",1998
"2016","......0026 Dorf","Ständige Wohnbevölkerung","Geburtsort - Total",629
"2016","......0027 Feuerthalen","Ständige Wohnbevölkerung","Geburtsort - Total",3596
"2016","......0028 Flaach","Ständige Wohnbevölkerung","Geburtsort - Total",1362
"2016","......0029 Flurlingen","Ständige Wohnbevölkerung","Geburtsort - Total",1434
"2016","......0030 Andelfingen","Ständige Wohnbevölkerung","Geburtsort - Total",2224
"2016","......0031 Henggart","Ständige Wohnbevölkerung","Geburtsort - Total",2242
"2016","......0032 Humlikon","Ständige Wohnbevölkerung","Geburtsort - Total",496
"2016","......0033 Kleinandelfingen","Ständige Wohnbevölkerung","Geburtsort - Total",2067
"2016","......0034 Laufen-Uhwiesen","Ständige Wohnbevölkerung","Geburtsort - Total",1650
"2016","......0035 Marthalen","Ständige Wohnbevölkerung","Geburtsort - Total",1938
"2016","......0036 Oberstammheim","Ständige Wohnbevölkerung","Geburtsort - Total",1191
"2016","......0037 Ossingen","Ständige Wohnbevölkerung","Geburtsort - Total",1456
"2016","......0038 Rheinau","Ständige Wohnbevölkerung","Geburtsort - Total",1302
"2016","......0039 Thalheim an der Thur","Ständige Wohnbevölkerung","Geburtsort - Total",919
"2016","......0040 Trüllikon","Ständige Wohnbevölkerung","Geburtsort - Total",1064
"2016","......0041 Truttikon","Ständige Wohnbevölkerung","Geburtsort - Total",469
"2016","......0042 Unterstammheim","Ständige Wohnbevölkerung","Geburtsort - Total",899
"2016","......0043 Volken","Ständige Wohnbevölkerung","Geburtsort - Total",341
"2016","......0044 Waltalingen","Ständige Wohnbevölkerung","Geburtsort - Total",657
