FromID;ToID;Pendler
1;2;106
1;3;5
1;4;7
1;5;8
1;9;8
1;13;14
1;14;6
1;62;10
1;66;9
1;96;5
1;131;19
1;135;9
1;139;6
1;141;9
1;191;6
1;242;6
1;243;9
1;247;11
1;248;8
1;250;11
1;261;352
1;293;5
1;295;9
1;1061;9
1;1701;46
1;1702;7
1;1707;7
1;1708;22
1;1711;48
2;1;66
2;3;31
2;4;29
2;5;166
2;6;9
2;7;18
2;9;151
2;10;58
2;11;48
2;12;6
2;13;19
2;14;43
2;52;8
2;54;9
2;62;40
2;66;25
2;69;30
2;83;6
2;96;18
2;97;10
2;131;68
2;135;24
2;136;11
2;137;7
2;138;13
2;139;6
2;141;14
2;154;9
2;156;6
2;161;7
2;172;6
2;191;28
2;198;9
2;199;13
2;200;9
2;230;10
2;242;25
2;243;64
2;244;9
2;247;130
2;248;13
2;250;36
2;261;1391
2;293;21
2;295;19
2;351;17
2;1024;13
2;1031;5
2;1040;5
2;1052;6
2;1054;12
2;1059;11
2;1061;44
2;1065;15
2;1322;13
2;1331;7
2;1372;11
2;1701;152
2;1702;83
2;1703;30
2;1704;8
2;1705;5
2;1707;43
2;1708;74
2;1711;267
2;2701;12
2;3340;8
2;4001;8
2;4003;6
2;4021;30
2;4034;5
2;4040;14
2;4045;9
2;4061;11
2;4063;7
2;4071;13
2;4073;9
2;4080;10
2;4082;9
2;4201;6
2;4234;51
2;4236;55
2;4239;6
3;2;124
3;4;9
3;5;36
3;9;12
3;10;8
3;13;28
3;14;62
3;62;21
3;66;23
3;69;29
3;96;10
3;97;6
3;131;33
3;135;15
3;136;8
3;139;8
3;141;16
3;154;12
3;161;11
3;191;15
3;199;9
3;200;5
3;230;9
3;242;86
3;243;51
3;247;52
3;248;5
3;250;87
3;261;1240
3;293;14
3;295;15
3;351;13
3;1024;10
3;1061;14
3;1322;5
3;1323;6
3;1701;24
3;1702;15
3;1707;14
3;1708;15
3;1711;51
3;2701;6
3;3203;5
3;4001;6
3;4021;18
3;4040;6
3;4045;6
3;4061;6
3;4063;8
3;4071;5
3;4234;7
3;4236;6
4;1;19
4;2;82
4;5;8
4;6;29
4;9;29
4;10;11
4;11;5
4;12;12
4;13;18
4;62;12
4;66;5
4;69;9
4;131;37
4;135;14
4;136;15
4;139;8
4;141;18
4;191;9
4;243;13
4;247;11
4;261;396
4;293;18
4;295;32
4;1061;22
4;1322;7
4;1323;5
4;1344;8
4;1701;166
4;1702;38
4;1703;8
4;1704;6
4;1705;7
4;1707;16
4;1708;60
4;1709;5
4;1711;110
4;2701;7
4;3340;5
4;4021;5
4;4236;7
5;1;10
5;2;191
5;3;25
5;9;17
5;10;16
5;11;9
5;13;9
5;14;16
5;62;27
5;66;12
5;69;14
