GemeindeNR_2019;Gemeinde;BezirkNR;Bezirk;KantonNR;Kanton;Kanton_kurz;AgglomerationNR;Agglomeration;Städtischer_CharakterNR;Städtischer_Charakter
1;Aeugst am Albis;101;Affoltern;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
2;Affoltern am Albis;101;Affoltern;1;Zürich;ZH;261;Zürich;3;Agglomerationskerngemeinde (Nebenkern)
3;Bonstetten;101;Affoltern;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
4;Hausen am Albis;101;Affoltern;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
5;Hedingen;101;Affoltern;1;Zürich;ZH;261;Zürich;3;Agglomerationskerngemeinde (Nebenkern)
6;Kappel am Albis;101;Affoltern;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
7;Knonau;101;Affoltern;1;Zürich;ZH;1711;Zug;4;Agglomerationsgürtelgemeinde
8;Maschwanden;101;Affoltern;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
9;Mettmenstetten;101;Affoltern;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
10;Obfelden;101;Affoltern;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
11;Ottenbach;101;Affoltern;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
12;Rifferswil;101;Affoltern;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
13;Stallikon;101;Affoltern;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
14;Wettswil am Albis;101;Affoltern;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
21;Adlikon;102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
22;Benken (ZH);102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
23;Berg am Irchel;102;Andelfingen;1;Zürich;ZH;261;Zürich;4;Agglomerationsgürtelgemeinde
24;Buch am Irchel;102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
25;Dachsen;102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
26;Dorf;102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
27;Feuerthalen;102;Andelfingen;1;Zürich;ZH;2939;Schaffhausen (CH);2;Agglomerationskerngemeinde (Hauptkern)
28;Flaach;102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
29;Flurlingen;102;Andelfingen;1;Zürich;ZH;2939;Schaffhausen (CH);2;Agglomerationskerngemeinde (Hauptkern)
30;Andelfingen;102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
31;Henggart;102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
32;Humlikon;102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
33;Kleinandelfingen;102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
34;Laufen-Uhwiesen;102;Andelfingen;1;Zürich;ZH;2939;Schaffhausen (CH);4;Agglomerationsgürtelgemeinde
35;Marthalen;102;Andelfingen;1;Zürich;ZH;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;5;Mehrfach orientierte Gemeinde
